Title,Release Date,Score,Genre,Summary,Actors,Languages,Revenue,Country
Malcolm & Marie,05-Nov-86,84.0,"Comedy, Crime, Sci-Fi","As a filmmaker and his girlfriend return home from his movie premiere, smoldering tensions and painful revelations push them toward a romantic reckoning.","John Hargreaves, Chris Haywood, Lindy Davies, Colin Friels",English,"$544,472","Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Mexico,Hungary,Slovakia,South Africa,Sweden,Thailand,Netherlands,Australia,Germany,Singapore,Turkey,Brazil,India,Argentina,Hong Kong,Israel,Japan,Switzerland,United Kingdom,South Korea,United States,Malaysia,Russia,Colombia,Romania"
Step,04-Aug-17,96.0,Documentary,"This film follows ten years in the life of a widow and his young daughter as they live and grow, one step at a time, through grief, hope and love.","Chevonne Hall, Amanda Leonard, Blessin Giraldo, Gari McIntyre",English,"$1,146,292",Japan
Ill Always Know What You Did Last Summer,19-May-99,52.0,"Action, Adventure, Fantasy, Sci-Fi","When a simple Fourth of July prank goes terribly wrong and turns into a deadly tragedy, wary friends vow to take their secret to the grave.","Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd","English, Sanskrit","$474,544,677","Thailand,Singapore,India,Hong Kong"
The House That Jack Built,17-Oct-18,59.0,"Crime, Drama, Horror, Thriller","On his way to hell, a serial killer — and frustrated architect — attempts to compare his brutal and increasingly bizarre murders to art.","Matt Dillon, Bruno Ganz, Uma Thurman, Siobhan Fallon Hogan","English, German, Italian","$258,106",Germany
Sonic the Hedgehog,14-Feb-20,63.0,"Action, Adventure, Comedy, Sci-Fi",A small-town sheriff helps an alien hedgehog with supersonic speed outrun a mad doctor who wants the creatures special powers to dominate the world.,"Tika Sumpter, James Marsden, Ben Schwartz, Jim Carrey","English, French","$148,974,665","Russia,Japan"
Touch Me Not,31-Oct-18,59.0,Drama,"In this experimental film, a filmmaker and her characters, including a woman who dislikes being touched, explore the emotional barriers toward intimacy.","Tómas Lemarquis, Laura Benson, Christian Bayerlein, Grit Uhlemann","English, German","$13,782",Romania
The Hunt,10-Jan-13,93.0,Drama,"In this dark horror satire, wealthy elites hunt innocent ordinary citizens for sport — until one of them turns the tables on her pursuers.","Mads Mikkelsen, Lasse Fogelstrøm, Annika Wedderkopp, Thomas Bo Larsen","Danish, English, Polish","$613,308",South Korea
Dragon,04-Jul-11,85.0,"Action, Crime, Drama, Thriller","Just as shes about to wed, a princess is kidnapped by a dragon and brought to a remote island where she discovers magic — and a new destiny.","Tang Wei, Wei Zheng, Jia-Min Li, Donnie Yen",Mandarin,"$11,137",Russia
Im Home,19-May-99,52.0,"Action, Adventure, Fantasy, Sci-Fi",An elite businessman and father embarks on a journey of self-discovery after waking from a coma unable to recall the five years before his accident.,"Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd","English, Sanskrit","$474,544,677","Thailand,Singapore,Malaysia,Hong Kong"
Affliction,19-Feb-99,88.0,"Drama, Mystery, Thriller","During a haunting visit with her family, a grieving wife tries to uncover the disturbing reasons behind her mother-in-laws deteriorating condition.","Holmes Osborne, Jim True-Frost, Brigid Tierney, Nick Nolte",English,"$6,330,054","Thailand,Singapore,Malaysia"
"So Im a Spider, So What?",30-Jul-93,51.0,"Comedy, Romance",A high school girl suddenly reincarnated as a lowly spider in a dangerous fantasy world must use her human wiles and relentless positivity to survive.,"Nancy Travis, Mike Myers, Amanda Plummer, Anthony LaPaglia","English, Russian","$11,585,483",Japan
Nowhere to Run,15-Jan-93,30.0,"Action, Drama, Romance, Thriller","After his wrongful conviction for murder, Sam escapes from prison and finds refuge with widowed Clydie and her two children at their isolated farm.","Ted Levine, Kieran Culkin, Rosanna Arquette, Jean-Claude Van Damme",English,"$22,189,039",Israel
Wish You,07-Jun-13,72.0,"Drama, Mystery","Singing and dreaming together, a talented singer-songwriter and a same-aged keyboardist add harmony and love to each other’s lives.","Teresa Palmer, Joel Edgerton, Felicity Price, Antony Starr","English, Vietnamese, Khmer","$46,347","Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,South Africa,Portugal,Thailand,Hungary,Slovakia,Sweden,Israel,Netherlands,Australia,Switzerland,Germany,United Kingdom,Turkey,India,Malaysia,Hong Kong,Japan,South Korea,Russia,Iceland,Canada,Mexico,Singapore,Argentina,Brazil,United States,Colombia,Romania"
