Title,Release Date,Score,Genre,Summary,Actors,Languages,Revenue,Country
The Age of Shadows,23-Sep-16,100.0,"Action, Drama, Thriller","Formerly a Korean resistance fighter, a policeman working for Japan is tasked with tracking down resistance leaders before they acquire explosives.","Gong Yoo, Lee Byung-Hun, Kang-ho Song, Zach Aguilar","Korean, Japanese, Mandarin, English","$541,719",South Korea
The Stanford Prison Experiment,17-Jul-15,84.0,"Biography, Drama, History, Thriller","Conducting a study on the psychology of incarceration, a Stanford professor assigns guard and prisoner roles to 24 male test subjects in a mock jail.","Nicholas Braun, Billy Crudup, Moises Arias, Michael Angarano",English,"$660,561","Lithuania,Poland,Czech Republic,Hungary,Slovakia,South Africa,Sweden,Romania,Iceland"
A Man Called Ove,30-Sep-16,91.0,"Comedy, Drama, Romance","A misanthrope rules his condos resident association with a grouchy iron fist, until new arrivals to the neighborhood slowly melt his frosty exterior.","Filip Berg, Bahar Pars, Ida Engvoll, Rolf Lassgård","Swedish, Persian","$3,479,315",Sweden
Soldier,23-Oct-98,13.0,"Action, Drama, Sci-Fi","On the run from Indian police, a mysterious man escapes to Australia and falls in love with the daughter of an Indian criminal who lives there.","Jason Scott Lee, Jason Isaacs, Kurt Russell, Connie Nielsen",English,"$14,594,226","Lithuania,United Kingdom,Russia,Czech Republic,Mexico,Australia,Iceland,India,Hong Kong,Spain,Singapore,Japan,United States,Argentina,Belgium,Slovakia,Sweden,Switzerland,Portugal,Germany,South Africa,Poland,France,Canada,Greece,Thailand,Turkey,Malaysia,Hungary,Brazil,Netherlands,Italy,Israel,Colombia,Romania"
Mother,28-May-09,96.0,"Crime, Drama, Mystery, Thriller","A murder rocks a small South Korean town and suspicion quickly falls on a reclusive, mentally challenged -- and alibi-free -- young man.","Jin Goo, Hye-ja Kim, Won Bin, Je-mun Yun",Korean,"$551,509",South Korea
When the Bough Breaks,09-Sep-16,12.0,"Drama, Thriller","Desperate to have a child, a successful couple hires a seemingly ideal surrogate. But they soon realize their new guest is unhinged and dangerous.","Romany Malco, Regina Hall, Michael Kenneth Williams, Morris Chestnut",English,"$29,747,603","Hong Kong,France,Romania,Belgium,Hungary,Lithuania,Canada,South Africa,Switzerland,Thailand,Brazil,Czech Republic,Israel,Italy,Australia,Poland,Singapore,India,Argentina,Greece,Malaysia,Slovakia,Turkey,Mexico,Colombia"
Trolls,04-Nov-16,75.0,"Animation, Adventure, Comedy, Family, Fantasy, Musical","When their fellow Trolls are captured by hungry Bergens, upbeat Princess Poppy and her grouchy pal Branch embark on the adventure of a lifetime.","Christopher Mintz-Plasse, Anna Kendrick, Justin Timberlake, Zooey Deschanel",English,"$153,707,064",South Korea
The Edge of Seventeen,18-Nov-16,94.0,"Comedy, Drama","When Nadines best (and only) friend starts dating her detested older brother, the teenage cynics life becomes even more unbearable.","Haley Lu Richardson, Kyra Sedgwick, Hailee Steinfeld, Blake Jenner",English,"$14,431,633","Switzerland,France,Hungary,Lithuania,Portugal,Romania,Mexico,India,Russia,United Kingdom,South Korea,Iceland,Japan,Belgium,Brazil,Czech Republic,Netherlands,Spain,Germany,Israel,Italy,Australia,Poland,Argentina,Greece,Slovakia,Turkey,Hong Kong,Thailand,Singapore,Malaysia,Colombia"
American Pastoral,21-Oct-16,23.0,"Crime, Drama",A successful man with a seemingly perfect life sees his ideal world crumble in the late 1960s when his daughter joins a violent anti-war group.,"Jennifer Connelly, Ewan McGregor, Dakota Fanning, Peter Riegert","English, Hebrew","$544,098",Poland
The Space Between Us,03-Feb-17,16.0,"Drama, Romance, Sci-Fi","After years of limited contact with Earth, an inquisitive teen who lives on Mars makes an interplanetary trek to discover his own origins.","Gary Oldman, Scott Takeda, Trey Tucker, Janet Montgomery",English,"$7,885,294","Japan,United States,South Korea,Romania,Hungary,Sweden,Czech Republic,Belgium,Australia,Singapore,Slovakia,Malaysia,Italy,India,Germany,Switzerland"
Miss Peregrines Home for Peculiar Children,30-Sep-16,64.0,"Adventure, Drama, Family, Fantasy, Thriller","Inspired by his grandfathers old photographs, a teenager unravels the mystery of a remote orphanage thats a refuge for children with odd abilities.","Samuel L. Jackson, Asa Butterfield, Eva Green, Judi Dench",English,"$87,242,834","South Korea,Hong Kong,Thailand,Singapore,Malaysia"
Dog Day Afternoon,25-Dec-75,96.0,"Biography, Crime, Drama, Thriller","To get money for his lovers sex reassignment surgery, a married man teams up with an accomplice to rob a New York bank on a scorching summer day.","Beulah Garrick, John Cazale, Penelope Allen, Sully Boyar",English,"$50,000,000","Hungary,Czech Republic,Poland,Slovakia,Romania"
The Attorney,18-Dec-13,75.0,Drama,"When the South Korean government falsely accuses a college student of being a spy, a self-centered tax attorney steps in to see justice prevail.","Kwang Soo Cha, Seon-Mook Cho, Han Gi-Joong, Kang-ho Song",Korean,"$557,236",South Korea
Loomis Fargo,30-Sep-16,34.0,"Biography, Comedy, Crime","Four dim-witted Southerners pull off one of the biggest heists in American history, robbing $17 million from a Loomis Fargo armored truck.","Ross Kimball, Zach Galifianakis, Kristen Wiig, Owen Wilson","English, Spanish","$17,368,022","Hungary,South Africa,Spain,Czech Republic,Poland,Australia"
Doctor Strange,04-Nov-16,89.0,"Action, Adventure, Fantasy, Sci-Fi",After a neurosurgeon loses the use of his hands he meets a mystical mentor who helps him harness magic to become the most powerful sorcerer on Earth.,"Benedict Wong, Benedict Cumberbatch, Rachel McAdams, Chiwetel Ejiofor",English,"$232,641,920",Canada
Lion,06-Jan-17,84.0,"Biography, Drama","An Indian man who was separated from his mother at age 5 and adopted by an Australian couple returns home, determined to find his birth family.","Abhishek Bharate, Priyanka Bose, Khushi Solanki, Sunny Pawar","English, Hindi, Bengali","$51,738,905","Japan,Belgium,Netherlands,Greece,Turkey,India"
Arms and the Dudes,19-Aug-16,61.0,"Biography, Comedy, Crime, Drama, War","Two pals parlay a shaky business plan into a $300 million government contract to supply arms for Afghanistan, then find themselves in way too deep.","Gregg Weiner, David Packouz, Steve Lantz, Miles Teller","English, Arabic, Albanian, Romanian","$43,034,523","France,Belgium,South Korea,Switzerland,Brazil,Germany,Italy,Argentina,Mexico,Colombia,United States"
Raees,25-Jan-17,67.0,"Action, Crime, Drama","After street smart kid Raees rises to become Gujarats bootlegging king in the 1980s, he tries to balance his life of crime with helping his people.","Shubham Tukaram, Yug, Shubham Chintamani, Raj Arjun",Hindi,"$3,262,954","Iceland,South Africa,Czech Republic,Slovakia,Lithuania,Russia,India,Australia,United Kingdom,Canada,United States,Portugal,Hong Kong,Poland,Greece,Romania,Singapore,Spain,Germany,Sweden,France,Belgium,Switzerland,Mexico,Argentina,South Korea,Japan,Thailand,Hungary,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia"
The Visit,11-Sep-15,68.0,"Horror, Mystery, Thriller","While on a visit to their grandparents farm, two kids decide to make a film about their family but soon discover their old kin harbor dark secrets.","Peter McRobbie, Ed Oxenbould, Olivia DeJonge, Deanna Dunagan",English,"$65,206,105",United Kingdom
Suicide Squad,05-Aug-16,26.0,"Action, Adventure, Fantasy, Sci-Fi",A secret government official releases the worlds worst super villains from prison to have them stop an impending apocalypse in exchange for freedom.,"Ike Barinholtz, Will Smith, Margot Robbie, Jaime FitzSimons","English, Japanese, Spanish","$325,100,054","France,Belgium,South Korea,Switzerland,Brazil,Germany,Italy,Argentina,Turkey,Mexico,Greece,Lithuania,India,Russia,Colombia"
Moonlight,18-Nov-16,98.0,Drama,"In a crime-infested Miami neighborhood, a gay African-American boy with a drug-addicted mother grows up with the help of a mentoring drug dealer.","Shariff Earp, Mahershala Ali, Alex R. Hibbert, Duan Sanderson",English,"$27,854,932","Japan,United States,South Korea,Australia"
Yamakasi,04-Apr-01,63.0,"Action, Drama, Crime",Seven daredevils who constantly test their abilities and the patience of the police use their skills to find a heart and a surgeon for a young fan.,"Yann Hnautra, Williams Belle, Malik Diouf, Châu Belle Dinh","French, Arabic","$184,441",France
Wild Oats,16-Sep-16,0.0,"Action, Adventure, Comedy, Drama","When insurance accidentally pays her millions, retired teacher Eva and her pal Maddie head to the Canary Islands for the adventure of their lives.","Shirley MacLaine, Ptolemy Slocum, Jessica Lange, Demi Moore","English, Spanish, German","$40,598","United States,Belgium,Canada"
Christine,09-Dec-83,69.0,"Horror, Thriller","In a film based on true events, an awkward but ambitious TV reporter struggles to adapt when shes ordered to focus on violent and salacious stories.","Alexandra Paul, Keith Gordon, John Stockwell, Robert Prosky",English,"$21,017,849","United States,Canada"
Crimson Peak,16-Oct-15,72.0,"Drama, Fantasy, Horror, Mystery, Thriller","After an American heiress marries a penniless British aristocrat and moves into his mansion, the sinister house begins to reveal its bloody secrets.","Tom Hiddleston, Jessica Chastain, Charlie Hunnam, Mia Wasikowska",English,"$31,090,320","United Kingdom,Poland,Greece,Czech Republic,Hungary,Slovakia,Sweden,Switzerland,Germany,Iceland,Mexico,Argentina,Lithuania,Colombia,Romania"
Snowden,16-Sep-16,61.0,"Biography, Crime, Drama, Thriller",This quiet thriller traces Edward Snowdens journey from Army recruit to disillusioned cyber analyst bent on exposing vast U.S. surveillance programs.,"Melissa Leo, Joseph Gordon-Levitt, Zachary Quinto, Jaymes Butler","English, American Sign Language, Russian","$21,587,519","Japan,Canada,United States,India"
Pinocchio,23-Feb-40,73.0,"Animation, Comedy, Family, Fantasy, Musical","In this classic tale, toymaker Geppetto carves a puppet who soon comes to life and embarks on an outlandish adventure in hopes of becoming a real boy.","Mel Blanc, Stuart Buchanan, Don Brodie, Billy Bletcher",English,"$84,254,167",Poland
Deepwater Horizon,30-Sep-16,83.0,"Action, Drama, History, Thriller",This dramatization of the 2010 catastrophe on the titular oil rig also chronicles the 12 hours leading up to what became a colossal man-made disaster.,"Douglas M. Griffin, Mark Wahlberg, Kurt Russell, James DuMont",English,"$61,433,527","Romania,Hungary,South Korea,Japan,Canada,Thailand,Switzerland,Brazil,Czech Republic,Netherlands,Germany,Australia,India,Argentina,Greece,Malaysia,Slovakia,Sweden,Turkey,Mexico,Colombia"
Michael,25-Dec-96,34.0,"Comedy, Drama, Fantasy","After a dedicated cop accidentally kills a 12-year-old boy, hes fired, harassed and forced to take menial work as he tries to keep his life together.","William Hurt, Andie MacDowell, John Travolta, Bob Hoskins","English, Portuguese","$95,318,203","Lithuania,Mexico,South Africa,Switzerland,Russia,United Kingdom,Canada,Australia,India,Iceland,Hong Kong,Spain,Argentina,Czech Republic,Slovakia,Germany,Hungary,Portugal,Thailand,Greece,Belgium,Sweden,Singapore,Japan,France,United States,Malaysia,Brazil,Netherlands,Israel,Poland,Turkey,Italy,Colombia"
The Legend of Tarzan,01-Jul-16,36.0,"Action, Adventure, Drama, Fantasy, Romance","After some time living in civilized 19th-century London, the ape-raised Tarzan returns to wild Congo and faces off against abominable colonialists.","Christoph Waltz, Rory J. Saper, Alexander Skarsgård, Christian Stevens","English, Lingala, French","$126,643,061","France,Belgium,South Korea,Japan,Brazil,Germany,Italy,Argentina,Mexico,Colombia"
A Monster Calls,06-Jan-17,86.0,"Adventure, Drama, Family, Fantasy","Overwhelmed by his mother’s illness, a young boy begins to understand human complexity through the fantastic tales of a consoling tree monster.","Sigourney Weaver, Toby Kebbell, Felicity Jones, Lewis MacDougall",English,"$3,740,823","Hungary,Japan,Romania,Czech Republic,Spain,Australia,Slovakia,Malaysia,Sweden,United States"
Gabbar Is Back,01-May-15,20.0,"Action, Crime, Drama","After a vengeful college professor targets corruption in the government, he adopts the name Gabbar and becomes a hero to a weary public.","Suman, Shruti Haasan, Akshay Kumar, Kareena Kapoor",Hindi,"$534,601","Lithuania,Mexico,South Africa,Russia,United Kingdom,Canada,Australia,India,Iceland,Hong Kong,Singapore,Spain,Argentina,Czech Republic,Slovakia,Germany,Hungary,Portugal,Japan,Thailand,Greece,Belgium,Sweden,France,Switzerland,United States,Poland,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania"
Finding Mr. Right,21-Mar-13,86.0,"Comedy, Romance","A Chinese tycoons mistress flees to Seattle to have their baby out of the tabloid spotlight, and unexpectedly falls in love with her driver.","Tang Wei, Hai-Qing, Xiubo Wu, Hongmei Mai","Mandarin, English, Min Nan","$6,945","Russia,India,Hungary,Lithuania,United Kingdom,Hong Kong,Japan,Romania,Switzerland,Mexico,Thailand,Brazil,Czech Republic,Germany,Iceland,Israel,Australia,Singapore,Argentina,Greece,Malaysia,Slovakia,Colombia"
The Client,20-Jul-94,78.0,"Crime, Drama, Mystery, Thriller",An intense courtroom battle ensues between a convinced prosecutor and a defense attorney representing a man accused of murdering his wife.,"Tommy Lee Jones, Mary-Louise Parker, Anthony LaPaglia, Susan Sarandon",English,"$92,115,211",South Korea
Hacksaw Ridge,04-Nov-16,84.0,"Biography, Drama, History, War","During World War II, Army medic and conscientious objector Desmond Doss becomes an unlikely hero on an Okinawa battlefield without bearing arms.","Milo Gibson, Andrew Garfield, Jacob Warner, Richard Pyros","English, Japanese","$67,209,615","Japan,Hong Kong,Hungary,Romania,Belgium,Czech Republic,Slovakia"
Malibus Most Wanted,18-Apr-03,31.0,"Comedy, Crime","Brad is a rap star wanna-be who hails from Malibu but acts and talks as if hes from the hood. Problem is, Brads uptight Republican dad is running for governor of California and is worried that his son will embarrass him during the campaign.","Jamie Kennedy, Regina Hall, Taye Diggs, Anthony Anderson",English,"$34,432,201",Greece
Pyaar Ka Punchnama 2,16-Oct-15,20.0,"Comedy, Drama, Romance","Three bachelor buddies eagerly seek true love but are woefully unprepared for the highs, lows and baffling complexities of romantic relationships.","Omkar Kapoor, Sunny Singh Nijjar, Nushrat Bharucha, Kartik Aaryan",Hindi,"$222,856","Romania,Turkey,Lithuania,Mexico,South Africa,Switzerland,Russia,United Kingdom,Canada,Australia,India,Iceland,Hong Kong,Singapore,Spain,Argentina,Czech Republic,Slovakia,Germany,Hungary,Portugal,France,Poland,Japan,Thailand,Greece,Belgium,Sweden,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia"
Torque,16-Jan-04,23.0,"Action, Comedy, Crime","Longtime biker Cary Ford is framed for murder by rival Henry, the leader of a biker gang called the Hellions. Unfortunately, the stiff happens to be the brother of Trey Wallace, the leader of the Machine.","Ice Cube, Dane Cook, John Ashker, Max Beesley",English,"$21,215,059",United Kingdom
Jackie,02-Dec-16,87.0,"Biography, Drama, History","To honor her husbands legacy, first lady Jacqueline Kennedy allows a reporter to interview her a mere week after the presidents assassination.","Billy Crudup, Natalie Portman, Greta Gerwig, Peter Sarsgaard","English, Spanish","$13,960,394","Hong Kong,Germany,Czech Republic"
Fire in the Blood,21-Feb-13,90.0,"Documentary, History","Filmmaker Dylan Mohan Gray delves into Africas AIDS crisis to put a human face on those caught in the battle over inexpensive, generic HIV drugs.","Bill Clinton, Peter Mugyenyi, William Hurt, Zackie Achmat","English, Hindi, Manipuri, Xhosa","$28,994","Israel,Singapore,Argentina,France,Australia,Iceland,Italy,United Kingdom,Spain,Brazil,Greece,India,Netherlands,Slovakia,Hong Kong,Germany,Sweden,Japan,Lithuania,United States,Poland,Canada,South Korea,Mexico,Czech Republic,South Africa,Thailand,Russia,Belgium,Portugal,Hungary,Switzerland,Turkey,Malaysia,Colombia,Romania"
Embrace,19-Sep-16,100.0,Documentary,Activist-media sensation Taryn Brumfitt leads a crusade to shed negative body images and body shaming to create a new way of perceiving our bodies.,"Renee Airya, Linda Bacon, Jes Baker, Taryn Brumfitt",English,"$629,126",Australia
Bridget Joness Baby,16-Sep-16,78.0,"Comedy, Drama, Romance","When perennially single Bridget finds herself pregnant at age 43, she has to figure out if shes ready for motherhood -- and who the babys father is.","Jim Broadbent, Gemma Jones, Renée Zellweger, Sally Phillips","English, Italian","$24,252,420","Germany,Switzerland"
Dear White People,04-Dec-14,91.0,"Comedy, Drama, Romance",Students of color navigate the daily slights and slippery politics of life at an Ivy League college thats not nearly as post-racial as it thinks.,"Tessa Thompson, Teyonah Parris, Kyle Gallner, Tyler James Williams",English,"$4,404,154","Slovakia,Hungary,France,Iceland,Lithuania,Sweden,Russia,Netherlands,Belgium,Switzerland,India,Brazil,Australia,United Kingdom,Mexico,Argentina,Canada,United States,Israel,Portugal,Hong Kong,Poland,South Korea,Greece,Romania,Singapore,Germany,Spain,South Africa,Czech Republic,Japan,Italy,Thailand,Turkey,Malaysia,Colombia"
President,17-Nov-95,91.0,"Comedy, Drama, Romance","An ambitious, talented politician embarks on an intense journey toward winning the presidency while juggling his complicated family affairs.","Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox","English, French, Spanish","$60,079,496","South Korea,Singapore,Spain,Czech Republic,France,Iceland,Lithuania,Russia,India,Australia,United Kingdom,Mexico,Canada,United States,Hong Kong,Argentina,South Africa,Thailand,Hungary,Slovakia,Turkey,Malaysia,Brazil,Colombia"
The Disappointments Room,09-Sep-16,0.0,"Drama, Horror, Thriller","After a troubled architect moves her family into a spacious fixer-upper, she discovers a curious locked room containing ghosts of a mysterious nature.","Kate Beckinsale, Mel Raido, Duncan Joiner, Lucas Till",English,"$2,423,468","Belgium,Netherlands"
Southside With You,26-Aug-16,92.0,"Biography, Drama, History, Romance",Tag along as future President Barack Obama and a young lawyer named Michelle go on their first date across Chicagos South Side in the summer of 1989.,"Tika Sumpter, Phillip Edward Van Lear, Vanessa Bell Calloway, Parker Sawyers",English,"$6,304,223",South Africa
A Tale of Love and Darkness,19-Aug-16,71.0,"Biography, Drama, History, Mystery, Romance, War","Based on the memoirs of author Amos Oz, this poetic drama shares his familys tale of suffering and survival in the early years of independent Israel.","Natalie Portman, Gilad Kahana, Moni Moshonov, Amir Tessler","Hebrew, English, Arabic, Russian","$572,212",United States
Dear Zindagi,23-Nov-16,69.0,"Drama, Romance","Accustomed to living an unfocused life, a promising cinematographer meets an unconventional therapist who introduces her to a new way of thinking.","Alia Bhatt, Shah Rukh Khan, Priyanka Moodley, Kunal Kapoor",Hindi,"$2,376,479","Hong Kong,Portugal,Poland,Romania,Singapore,Germany,Spain,South Africa,Czech Republic,Slovakia,Hungary,France,Iceland,Lithuania,Russia,Sweden,Belgium,Switzerland,India,Australia,United Kingdom,Mexico,Argentina,Canada,United States,South Korea,Japan,Thailand,Turkey,Greece,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia"
Lights Out,22-Jul-16,76.0,"Drama, Horror, Mystery, Thriller","When a terrifying force arises from her family’s past, a woman must protect her young stepbrother from a spirit that kills its victims in the dark.","Teresa Palmer, Gabriel Bateman, Billy Burke, Alexander DiPersia",English,"$67,268,835","South Korea,Poland,Czech Republic"
Little Boxes,14-Apr-17,67.0,"Comedy, Drama","After moving from New York City to a small town in Washington state, a biracial couple and their preteen son struggle to adjust to life in suburbia.","Nelsan Ellis, Armani Jackson, Oona Laurence, Melanie Lynskey",English,"$2,230,700","Israel,Portugal,Greece,Poland,Singapore,South Korea,Romania,Spain,Germany,Sweden,Netherlands,South Africa,Iceland,France,Hungary,Slovakia,Czech Republic,Lithuania,Russia,Switzerland,Belgium,India,Brazil,Mexico,Argentina,Canada,United States,Hong Kong,Japan,Italy,Thailand,United Kingdom,Australia,Turkey,Colombia"
D.E.B.S.,25-Mar-05,41.0,"Action, Comedy, Romance","When four girls ace an SAT test that secretly measures a teens potential for espionage, theyre recruited for the elite paramilitary group D.E.B.S.","Meagan Good, Devon Aoki, Jordana Brewster, Sara Foster",English,"$97,446","Canada,Israel"
A Street Cat Named Bob,18-Nov-16,77.0,"Biography, Drama, Family","When he adopts a stray ginger cat and includes it in his street performance act, a recovering drug addict finds his life and career transformed.","Bob the Cat, Luke Treadaway, Ruta Gedmintas, Joanne Froggatt",English,"$82,703",South Korea
Slam,07-Oct-98,61.0,Drama,"Teen father-to-be Sam imagines his future as a young parent and finds a surprising mentor while reading about his idol, pro skateboarder Tony Hawk.","Saul Williams, Sonja Sohn, Bonz Malone, Lawrence Wilson",English,"$1,009,819","Slovakia,South Africa,Czech Republic,Iceland,France,Lithuania,Russia,Netherlands,Sweden,Spain,Belgium,India,Brazil,United Kingdom,Australia,Mexico,Argentina,Canada,United States,Israel,Hong Kong,Portugal,Poland,South Korea,Romania,Greece,Singapore,Germany,Japan,Thailand,Switzerland,Italy,Hungary,Turkey,Malaysia,Colombia"
We Are Family,10-Sep-10,50.0,"Comedy, Drama, Family","Fed up with being shuffled around, a boy from a big blended family decides that the kids should live in one house and the parents take turns visiting.","Arjun Rampal, Amrita Prakash, Kareena Kapoor, Kajol",Hindi,"$638,144","Singapore,Romania,South Africa,Lithuania,India,Australia,United Kingdom,Canada,United States,South Korea,Poland,Hong Kong,Russia,Sweden,Japan,Switzerland,Thailand,Hungary,Czech Republic,Belgium,Slovakia,Malaysia,Netherlands,Iceland,Israel"
The Walk,09-Oct-15,83.0,"Action, Adventure, Biography, Drama","This is the true story of Philippe Petit, who made a death-defying, unsanctioned high-wire walk atop and between the Twin Towers in 1974.","Mark Trafford, Guillaume Baillargeon, Joseph Gordon-Levitt, Émilie Leclerc","English, French, Czech","$10,137,502","Portugal,Switzerland,South Korea,Canada,Italy,Greece,Poland,Czech Republic,Hungary,Slovakia,Lithuania,Romania,India,Japan"
Bugsy,20-Dec-91,85.0,"Biography, Crime, Drama","Gangster Bugsy Siegel builds a gambling mecca in the middle of the Nevada desert, but his affair with a screen siren would ultimately bring him down.","Annette Bening, Ben Kingsley, Warren Beatty, Harvey Keitel",English,"$49,114,016",Canada
Kevin Hart: What Now?,14-Oct-16,76.0,"Documentary, Comedy","Frenetic comic Kevin Hart hits Philadelphia and dishes on suburban wildlife, jean shorts and the fine art of getting even with a 7-year-old.","Don Cheadle, Ed Helms, Kevin Hart, Halle Berry",English,"$23,591,043","South Africa,Slovakia,Czech Republic,Hungary,Iceland,France,Lithuania,Russia,Netherlands,Sweden,Spain,Belgium,India,Switzerland,Australia,United Kingdom,Brazil,Mexico,Argentina,Canada,United States,Israel,Hong Kong,Poland,Portugal,South Korea,Romania,Greece,Singapore,Germany,Japan,Italy,Thailand,Turkey"
Kubo and the Two Strings,19-Aug-16,97.0,"Animation, Action, Adventure, Family, Fantasy","In feudal Japan, a one-eyed boy with musical magic powers searches for his fathers enchanted armor, pursued by his evil grandfather, the Moon King.","Cary-Hiroyuki Tagawa, Charlize Theron, Art Parkinson, Brenda Vaccaro",English,"$48,023,088",Japan
Mary Shelleys Frankenstein,04-Nov-94,38.0,"Drama, Horror, Romance, Sci-Fi","Rejected by society, a creature comprised of criminals corpses and a brilliant brain plots revenge against his creator, Dr. Viktor Frankenstein.","Tom Hulce, Helena Bonham Carter, Robert De Niro, Kenneth Branagh",English,"$22,006,296","Mexico,Argentina,Brazil,Colombia"
Ich Seh Ich Seh,11-Sep-15,85.0,"Horror, Mystery, Thriller","When their mother returns home after plastic surgery, twin boys begin to suspect the cruel woman under the facial bandages is not really their mother.","Lukas Schwarz, Susanne Wuest, Elias Schwarz, Hans Escher",German,"$1,178,196","Japan,Germany"
The Tenth Man,11-Feb-16,71.0,"Comedy, Drama","After spending much of his adult life in New York, an affable economist returns home to Buenos Aires and tries to reconnect with his aloof father.","Elvira Onetto, Julieta Zylberberg, Alan Sabbagh, Usher Barilka","Spanish, Hebrew, Yiddish","$63,564","Portugal,Poland,Greece,Romania,Spain,Sweden,Iceland,South Africa,France,Czech Republic,Slovakia,Lithuania,Russia,Belgium,Switzerland,India,Australia,United Kingdom,Canada,Argentina,Mexico,Hungary,Turkey,Germany,United States,Thailand,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia"
Mechanic: Resurrection,26-Aug-16,31.0,"Action, Adventure, Crime, Thriller","When the woman he loves is kidnapped by an old enemy, retired hit man Arthur Bishop is forced to tackle a list of difficult assassination missions.","Jason Statham, Michelle Yeoh, Tommy Lee Jones, Jessica Alba","English, Portuguese, Thai, Bulgarian","$21,218,403","Belgium,South Africa,Netherlands,Singapore,Sweden,Australia"
Two Brothers,25-Jun-04,78.0,"Adventure, Drama, Family","Twin tiger cubs are separated, one sold to a circus, the other becoming the much-loved pet of a lonely boy...until hes sold into a cruel fate.","Freddie Highmore, Oanh Nguyen, Guy Pearce, Jean-Claude Dreyfus","English, Thai, French","$19,176,754","Portugal,Thailand,Singapore,Australia,Malaysia,Hong Kong"
Barely Lethal,30-Apr-15,26.0,"Action, Comedy",A girl raised to be a government assassin just wants to be a normal teen -- so she runs away and pretends to be a high school exchange student.,"Samuel L. Jackson, Madeleine Stack, Jaime King, Eva G. Cooper",English,"$6,075","Canada,India"
It Could Happen to You,29-Jul-94,71.0,"Comedy, Drama, Romance",A waitress gets a life-changing tip when a cop comes up short on pocket change and promises her half of his potential winnings from a lottery ticket.,"Wendell Pierce, Nicolas Cage, Bridget Fonda, Rosie Perez","English, Spanish","$37,939,757","Lithuania,Hungary,Czech Republic,Iceland,Poland,Sweden,Turkey,Slovakia,Romania"
First Knight,07-Jul-95,43.0,"Action, Adventure, Drama, Romance","In this lyrical retelling of the legend of Camelot, Lady Guinevere is torn between loyalty to her husband and her growing love for his rival.","Julia Ormond, Ben Cross, Sean Connery, Richard Gere",English,"$37,600,435","Hong Kong,Thailand,United Kingdom,Canada,South Korea,Mexico,Brazil,Spain,Singapore,Argentina,Malaysia,South Africa,Switzerland,Germany,Colombia"
Oasis: Supersonic,26-Oct-16,84.0,"Documentary, Biography, Music",This film details the rise of British rock group Oasis and the creativity and chaos that brothers Noel and Liam Gallagher brought to the iconic band.,"Paul Arthurs, Debbie Turner, Mark Coyle, Christine Biller",English,"$242,867","United Kingdom,Japan"
Five Nights in Maine,05-Aug-16,27.0,Drama,"After his wife dies in a car accident, a grief-stricken man visits his estranged mother-in-law in Maine, where they try to help each other heal.","Hani Furstenberg, David Oyelowo, Neal Lerner, Teyonah Parris",English,"$15,587","Hong Kong,Israel,Portugal,Singapore,Poland,Greece,Romania,South Africa,Germany,Czech Republic,Slovakia,Hungary,France,Iceland,Lithuania,Russia,Netherlands,Sweden,Spain,India,Belgium,Switzerland,Australia,United Kingdom,Brazil,Argentina,Mexico,Canada,United States,South Korea,Japan,Italy,Thailand,Turkey,Malaysia,Colombia"
Nerve,27-Jul-16,66.0,"Adventure, Crime, Drama, Mystery, Thriller","An online game of truth or dare turns deadly for a newbie player who assumed she was signing up for harmless fun. Now, the only way out is to win.","Emma Roberts, Dave Franco, Emily Meade, Miles Heizer",English,"$38,583,626","Romania,South Korea,Hungary,Japan,Russia,Canada,Thailand,Netherlands,Czech Republic,Turkey,Germany,Switzerland,Mexico,Argentina,Brazil,Colombia"
Little Children,09-Feb-07,80.0,"Drama, Romance",Several adults in a quiet suburban neighborhood have yet to surpass their adolescent impulses in this contemplative relationship drama.,"Jennifer Connelly, Jackie Earle Haley, Kate Winslet, Patrick Wilson",English,"$5,463,019","Brazil,Argentina,Mexico,Colombia"
Fear Dot Com,30-Aug-02,3.0,"Crime, Horror, Thriller",New York gumshoe Mike Reilly teams with a Department of Health worker to track down a homicidal sadist who broadcasts acts of torture on the Internet.,"Stephen Rea, Stephen Dorff, Natascha McElhone, Udo Kier",English,"$13,258,249","Switzerland,France,Iceland,Italy,Sweden,South Africa,Germany"
In the Cut,31-Oct-03,33.0,"Mystery, Thriller","After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.","Jennifer Jason Leigh, Meg Ryan, Michael Nuccio, Allison Nega",English,"$4,750,602",Russia
Christine,09-Dec-83,69.0,"Horror, Thriller","A geeky student restores a classic 1958 Plymouth Fury -- but once he gets behind the wheel, his newfound confidence turns to furious arrogance.","Alexandra Paul, Keith Gordon, John Stockwell, Robert Prosky",English,"$21,017,849","Romania,Hungary,Lithuania,Switzerland,Japan,Canada,Czech Republic,Germany,Iceland,Poland,Greece,Slovakia,Sweden,Turkey"
